IAL MutexWS	0.987922250	0.991833594
CASIA_MIRA	0.987877739	0.990920188
IAL - Steerable Filter CNN	0.986800916	0.991438892
ACE-Net	0.985032746	0.989490497
M2FCN-MFA	0.983834543	0.989805687
HVCL@UNIST	0.983651122	0.991303595
Afshin Khadangi	0.983599730	0.987164611
M2FCN	0.983565886	0.990191274
DenseUNet	0.983364938	0.984963985
MIPG_KLj	0.983221700	0.989258694
ADDN	0.983173976	0.990877416
DerThorsten	0.982240005	0.988448278
cmach	0.982231400	0.989716874
BTS	0.982081680	0.988996474
LJ	0.981725295	0.990085861
CVLab	0.981144667	0.988053086
Multidimensional Image Processing Group	0.981078691	0.988252827
PolyMtl	0.980582825	0.988163049
USYD-BMIT-LDN	0.980395004	0.987426172
KUnet	0.980222514	0.988967601
BUPT	0.979685113	0.988762708
Siqi 3D AH-Net	0.979586985	0.987787732
lanbowen23	0.979215130	0.989948721
Multi-media Lab	0.978402744	0.987083878
fzu-cs	0.978265769	0.988009503
IAL IC	0.977345721	0.989240736
TU Vienna Practica	0.977293691	0.986701159
Masters	0.977141154	0.987534429
CUMedVision	0.976824580	0.988645822
CUMedVision-motif	0.976546913	0.988341665
YGMYW	0.976481076	0.987111427
DIVE-SCI	0.976229111	0.987392123
SeungLab-eding	0.976088881	0.984437510
cvlab2	0.976088739	0.988645822
SeungLab-kluther	0.975791319	0.988882352
Seunglab-beisner	0.975744592	0.985701764
LSTM	0.975366444	0.987425430
BlueStone	0.975363510	0.986839081
CMU Vision Group	0.975350376	0.986054814
CaoYue_SNNUCS	0.974992739	0.984716307
r1q	0.974784452	0.984808243
SeungLab-ffjiang	0.974545083	0.987422933
IMED	0.974326220	0.987900579
Connectomics	0.974179720	0.988495190
Tesis Kisa Online	0.974045398	0.987476104
vlt	0.974028021	0.984241001
Imaging and Visualization Group	0.973964424	0.986176728
vpc-vision	0.973954492	0.985084094
visionatgroup	0.973791818	0.984662640
miaip	0.973547816	0.983761051
CSE	0.973459954	0.985396461
IDSIA-SCI	0.973015769	0.987441379
Delta Lab IIT Kanpur	0.972970700	0.986323795
mcv_udem	0.972841196	0.985937133
Image Analysis Lab Freiburg	0.972760748	0.986616590
CV group	0.972650667	0.983142793
FWI	0.972563159	0.984069265
patternrecognitionteam	0.972562316	0.984666046
RLN	0.972556217	0.984314649
segmentationteam	0.972533760	0.983964211
motif	0.972509870	0.985360087
R&D	0.972490627	0.985102344
UniZurich	0.972383273	0.986505761
SJTU CMaCH Lightman	0.972352852	0.986844616
Math	0.972338581	0.986028509
ECNU	0.971920168	0.984836003
SCI	0.971441789	0.982112638
SeungLab-syou	0.971318790	0.984963716
CSU	0.971307273	0.984835610
deepnet	0.971029882	0.984665348
Tsinghtech	0.971007223	0.982813313
IMAG/e + Lie Analysis (test)	0.970650373	0.982512395
mlblr	0.970543685	0.984065823
Afish1001	0.969957699	0.983149366
optree-idsia	0.969901004	0.984934969
ra77	0.969869487	0.983780816
CV_segmentation	0.969195277	0.983074467
snnu	0.969153057	0.983710814
IDSIA	0.968988450	0.985045727
DIVE	0.968566664	0.985848232
chinamm	0.968010471	0.982479654
CICWI	0.967872456	0.984983459
yangteam	0.967772396	0.983094273
PyraMiD-LSTM	0.967669864	0.982914537
NDMed	0.966553206	0.983875793
-	0.966408473	0.981927812
Biomedical Computer Vision	0.966344839	0.980192821
HanLe CSE527	0.966344839	0.984165077
cnncyszzcj	0.966120820	0.980656349
SeungLab-nlam	0.966048840	0.978613026
Tunet	0.965564502	0.983732073
RTC	0.965272764	0.984833592
XiangSong	0.964742681	0.981283834
ORNL_Klibisz	0.964116142	0.982752000
CSUquan	0.963448280	0.981925980
Anhui University	0.963424553	0.982715884
zhouquan	0.962181580	0.980861308
